data_referencia;cod_ibge;txt_municipio;txt_uf;num_ano_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2009;2;106000,0;28406,0
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2010;11;598983,79;129620,0
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2011;9;450560,2;35436,0
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2012;26;1711299,54;532644,3999999999
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2013;33;2331474,5400000005;690322,6899999998
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2014;42;3001273,46;924962,69
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2015;43;3017464,23;816503,3099999998
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2016;25;1862638,58;302075,69
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2017;15;1156655,0;243058,31
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2018;17;1598038,89;271553,76
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2019;9;778097,62;139632,14
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2020;19;1859866,67;384218,2199999999
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2021;2;199983,53999999998;73505,18
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2022;8;766674,8900000001;136845,28999999998
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2023;24;3065153,7800000003;470206,33999999997
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2024;35;5535241,679999999;520384,74
16/05/2025;110001;Alta Floresta D'Oeste ;RO;2025;12;1772374,0699999998;289409,99
16/05/2025;110002;Ariquemes ;RO;2009;64;2947428,83;769513,3
16/05/2025;110002;Ariquemes ;RO;2010;94;5414181,69;1387931,0
16/05/2025;110002;Ariquemes ;RO;2011;115;7737559,3;536683,6
16/05/2025;110002;Ariquemes ;RO;2012;108;7850479,019999999;1832872,95
16/05/2025;110002;Ariquemes ;RO;2013;173;14427670,229999999;3374067,47
16/05/2025;110002;Ariquemes ;RO;2014;174;15157080,21;3876569,0700000003
16/05/2025;110002;Ariquemes ;RO;2015;233;21182376,89;5448985,01
16/05/2025;110002;Ariquemes ;RO;2016;191;17645363,459999997;3681991,4699999993
16/05/2025;110002;Ariquemes ;RO;2017;218;21139675,06;4530964,07
16/05/2025;110002;Ariquemes ;RO;2018;191;18757707,11;4695332,100000001
16/05/2025;110002;Ariquemes ;RO;2019;134;14073010,2;2759372,32
16/05/2025;110002;Ariquemes ;RO;2020;148;15439420,950000001;3384975,1700000004
16/05/2025;110002;Ariquemes ;RO;2021;90;9682017,120000001;2228634,460000001
16/05/2025;110002;Ariquemes ;RO;2022;109;14021589,250000002;1495133,0500000003
16/05/2025;110002;Ariquemes ;RO;2023;133;21307837,300000004;2088908,2000000007
16/05/2025;110002;Ariquemes ;RO;2024;228;38369786,190000005;4043907,3999999994
16/05/2025;110002;Ariquemes ;RO;2025;94;14611367,15;2067870,15
16/05/2025;110003;Cabixi ;RO;2024;1;152000,0;9188,55
16/05/2025;110004;Cacoal ;RO;2009;115;5341445,319999999;1510222,85
16/05/2025;110004;Cacoal ;RO;2010;197;10124904,519999998;3190662,0
16/05/2025;110004;Cacoal ;RO;2011;125;8127136,269999999;753630,6
16/05/2025;110004;Cacoal ;RO;2012;122;8618960,319999998;2279280,93
16/05/2025;110004;Cacoal ;RO;2013;161;12336601,179999998;3003031,0
16/05/2025;110004;Cacoal ;RO;2014;280;21448777,160000004;5221906,790000003
16/05/2025;110004;Cacoal ;RO;2015;184;15003808,230000002;3416061,460000001
16/05/2025;110004;Cacoal ;RO;2016;122;11399826,200000003;1521250,75
16/05/2025;110004;Cacoal ;RO;2017;144;14162556,910000004;1638543,3699999999
16/05/2025;110004;Cacoal ;RO;2018;129;13443641,839999998;1650162,98
16/05/2025;110004;Cacoal ;RO;2019;76;7570852,659999999;1327758,86
16/05/2025;110004;Cacoal ;RO;2020;81;7733280,330000001;1657799,18
16/05/2025;110004;Cacoal ;RO;2021;104;10585989,860000001;2173774,81
16/05/2025;110004;Cacoal ;RO;2022;108;12997330,8;1767243,4799999995
16/05/2025;110004;Cacoal ;RO;2023;193;29092328,94999999;2783177,68
16/05/2025;110004;Cacoal ;RO;2024;352;56990112,95;6802122,21
16/05/2025;110004;Cacoal ;RO;2025;126;20525950,779999997;2249647,96
16/05/2025;110005;Cerejeiras ;RO;2009;2;64025,5;26262,0
16/05/2025;110005;Cerejeiras ;RO;2010;1;41035,22;16989,0
16/05/2025;110005;Cerejeiras ;RO;2011;1;15000,0;8000,0
16/05/2025;110005;Cerejeiras ;RO;2012;6;314378,39;98882,18999999999
16/05/2025;110005;Cerejeiras ;RO;2013;19;1209875,6;276292,64
16/05/2025;110005;Cerejeiras ;RO;2014;30;1985724,58;505243,0399999999
16/05/2025;110005;Cerejeiras ;RO;2015;42;2954771,26;817584,9499999998
16/05/2025;110005;Cerejeiras ;RO;2016;26;1959830,74;345478,64999999997
16/05/2025;110005;Cerejeiras ;RO;2017;21;1583298,97;295216,69000000006
16/05/2025;110005;Cerejeiras ;RO;2018;13;1113622,17;205332,71
16/05/2025;110005;Cerejeiras ;RO;2019;12;1006578,3600000001;115112,65999999997
16/05/2025;110005;Cerejeiras ;RO;2020;20;1935891,45;201538,44000000003
16/05/2025;110005;Cerejeiras ;RO;2021;11;1092632,17;192083,24
16/05/2025;110005;Cerejeiras ;RO;2022;12;1386122,8900000001;91442,45
16/05/2025;110005;Cerejeiras ;RO;2023;14;2155055,1100000003;74926,77
