data_referencia;cod_ibge;txt_nome_municipio;txt_sigla_uf;txt_regiao;dt_assinatura;cod_operacao;txt_nome_empreendimento;txt_nome_agente_financeiro;txt_modalidade;txt_situacao_empreendimento;qtd_uh;qtd_uh_entregues;qtd_uh_vigentes;qtd_uh_distratadas;val_contratado_total;val_desembolsado;txt_cnpj_construtora_entidade;txt_nome_construtora_entidade;txt_endereco;txt_cep
2025-03-31;230440;Fortaleza ;CE;Nordeste;31/12/2018;44115825;CONDOMINIO RESIDENCIAL ALDACI BARBOSA;CAIXA;FAR;Distratado/Cancelado;144;0,0;0;144;11807984,0;0,0;73785032000113;ISR CONSTRUCOES LTDA;RUA BORGES DE MELO, S/N_;0
2025-03-31;260960;Olinda ;PE;Nordeste;07/02/2018;49017122;HABITACIONAL SAPUCAIA E AGUAZINHA;CAIXA;FAR;Concluído;432;432,0;0;0;34560000,0;34559999,74;2054380000172;AWM ENGENHARIA LTDA;ANTIGA ESTRADA DE AGUAZINHA SN;53270240
2025-03-31;110020;Porto Velho ;RO;Norte;09/04/2010;29925581;RESIDENCIAL CIDADE DE TODOS III;CAIXA;FAR;Concluído;240;240,0;0;0;13830963,0;13809147,96;34452706000106;COMERCIO ENGENHARIA LTDA;AV AMAZONAS, N� 9680 - BAIRRO SOCIALISTA;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;09/04/2010;30011639;RESIDENCIAL CIDADE DE TODOS IX;CAIXA;FAR;Concluído;240;240,0;0;0;14218052,0;14218051,93;34452706000106;COMERCIO ENGENHARIA LTDA;RUA OSWALDO RIBEIRO, S/N - SOCIALISTA;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;09/07/2010;32680414;RESIDENCIAL CIDADE DE TODOS - LOTE 01;CAIXA;FAR;Concluído;114;114,0;0;0;6840691,0;6840691,6;2364225000152;CONSTRUTORA JOAO DE BARRO LTDA;AV AMAZONAS - LOTE 738;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;09/07/2010;32703630;RESIDENCIAL CIDADE DE TODOS - LOTE 02;CAIXA;FAR;Concluído;82;82,0;0;0;3421062,0;3421062,22;2364225000152;CONSTRUTORA JOAO DE BARRO LTDA;RUA MANE GARRICHA, LOTE 393;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;25/06/2013;40267126;RESIDENCIAL PORTO BELLO II;CAIXA;FAR;Concluído;272;272,0;0;0;18161056,0;18161056,68;77578623000170;CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.;RUA DE ACESSO,(ATUAL JOSE FAID), S/N BAIRRO JD SANTANA;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;25/06/2013;40267344;RESIDENCIAL PORTO BELO I;CAIXA;FAR;Concluído;272;272,0;0;0;18185358,0;17921671,09;673788000105;R.D.ENGENHARIA E COMERCIO LTDA.;RUA IVAN CURI, S/N - BAIRRO SOCIALISTA;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;25/06/2013;40267459;PORTO MADERO V;CAIXA;FAR;Não Concluído;288;0,0;288;0;19198308,0;17791071,36;673788000105;R.D.ENGENHARIA E COMERCIO LTDA.;RUA RAIMUNDO CANTUARIA, S/N - BAIRRO SOCIALISTA;76800000
2025-03-31;110020;Porto Velho ;RO;Norte;25/06/2013;40267564;RESIDENCIAL PORTO BELLO III;CAIXA;FAR;Concluído;272;272,0;0;0;18224000,0;18224000,0;77578623000170;CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.;RUA DE ACESSO,(ATUAL JOSE FAID) BAIRRO JARDIM SANTANA;76800000
